;Unnamed: 0;municipio;codigo;area_territorial;populacao_estimada;densidade_demografica;escolarizacao;idhm;mortalidade_infantil;pib_per_capita;uf;receitas_realizadas;despesas_empenhadas;saldo_receitas_despesas;cidade;estado;longitude;latitude;altitude;unidades;unidades_urbanas;unidades_rurais;area_plantada;producao_graos;IDHM_Renda;IDHM_Longevidade;IDHM_Educacao;tipo_rural_urbano;GVA_agropecuaria;GVA_industria;GVA_Servicos;GVA_publico;GDP;GDP_populacao;GDP_per_capita;estabelecimentos;carros;motos
403;419;Guaíba;4309308;376,166;98239;252,57;97,3;0,73;;56669,84;RS;299640,0498;241629,9316;58010,11821;Guaíba;RS;-51.31468366;-30.10860192;19.1;31258;30455;803;4756;43832;0.732;0.833;0.639;Urbano;31332.9;1249846.44;2036.61;440.72;5565.44;99186;56111.13;2422;35714;8376
404;420;Guaporé;4309407;297,545;25968;76,64;98,5;0,765;;33362,69;RS;96100,61721;74803,77841;21296,8388;Guaporé;RS;-51.89065069;-28.84913364;465.83;7629;7027;602;6743;35764;0.781;0.837;0.685;Urbano;49701.29;212579.51;329387.06;107101.47;774.92;24677;31402.55;1859;11910;1796
405;421;Guarani das Missões;4309506;290,7;7463;27,93;97,8;0,737;;37151,92;RS;27663,18637;25187,47006;2475,71631;Guarani das Missões;RS;-54.56055593;-28.14177926;269.03;2700;1722;978;27160;73992;0.698;0.863;0.665;Rural Adjacente;77125.38;57.4;93442.67;38409.5;287275.49;8114;35404.92;250;2989;923
406;422;Harmonia;4309555;48,562;4917;95,04;100;0,749;;34308,46;RS;30745,51051;24571,19339;6174,31712;Harmonia;RS;-51.4140397;-29.54904909;18.54;1425;843;582;1446;18322;0.748;0.841;0.668;Rural Adjacente;23712.44;28093.69;54374.56;23664.56;145634.92;4630;31454.63;253;2155;719
407;423;Herveiras;4309571;118,252;3019;24,97;93,7;0,616;;20538,29;RS;14430,50185;12660,69109;1769,81076;Herveiras;RS;-52.6501706;-29.45704381;532.5;919;148;771;3629;44376;0.67;0.792;0.441;Rural Adjacente;24.95;1667.8;8693.86;16774.2;53357.04;3067;17397.14;53;735;343
408;424;Horizontina;4309605;229,736;19389;78,92;97,6;0,783;;81910,12;RS;110443,571;84110,4909;26333,08009;Horizontina;RS;-54.30879151;-27.63009691;318.74;6586;5315;1271;19117;55623;0.782;0.858;0.716;Urbano;71336.23;419983.4;365598.25;106378.64;1216250.19;19286;63063.89;729;8615;3258
409;425;Hulha Negra;4309654;822,608;6836;7,34;96;0,643;;24316,6;RS;25728,64497;20944,54165;4784,10332;Hulha Negra;RS;-53.86782479;-31.40509825;194.57;1951;978;973;18801;36830;0.653;0.796;0.512;Urbano;53754.62;34563.21;24067.65;32685.08;156983.51;6521;24073.53;107;1444;655
410;426;Humaitá;4309704;134,463;4736;36,57;99;0,738;;27580,56;RS;26800,76535;21490,22851;5310,53684;Humaitá;RS;-53.97650557;-27.56148982;447.37;1727;1075;652;12061;31175;0.732;0.837;0.657;Rural Adjacente;46.88;6777.85;48814.14;22862.65;135270.06;4998;27064.84;190;1874;777
411;427;Ibarama;4309753;195,426;4399;22,63;97,7;0,652;;19480,54;RS;17971,71811;16630,52541;1341,1927;Ibarama;RS;-53.13320001;-29.42074436;321.88;1373;371;1002;7890;59261;0.686;0.792;0.511;Rural Adjacente;34274.68;4.68;15664.54;23343.56;80.85;4518;17894.79;106;1479;597
412;428;Ibiaçá;4309803;348,778;4699;13,5;97,6;0,739;;39763,14;RS;27178,79553;20966,36643;6212,4291;Ibiaçá;RS;-51.85725209;-28.04884952;604.28;1648;1030;618;21104;82001;0.766;0.888;0.593;Rural Adjacente;81567.66;11518.87;68.4;24913.7;202565.38;4847;41791.91;235;1941;421
413;429;Ibiraiaras;4309902;292,16;7265;23,85;97,5;0,724;;31990,31;RS;29828,83932;23723,32444;6105,51488;Ibiraiaras;RS;-51.63532399;-28.36922673;784.05;2149;1246;903;16632;87677;0.739;0.835;0.615;Rural Adjacente;85.65;12186.61;112254.15;34486.23;269868.48;7449;36228.82;282;2928;712
414;430;Ibirapuitã;4309951;307,164;4000;13,23;95,4;0,638;;22915,39;RS;21103,76026;18158,48109;2945,27917;Ibirapuitã;RS;-52.51938559;-28.61502042;591.62;1398;831;567;17503;44958;0.678;0.828;0.463;Rural Adjacente;56461.46;3.12;24894.96;22902.41;111255.55;4159;26750.55;119;1659;371
415;431;Ibirubá;4310009;607,185;20413;31,79;99;0,765;;44413,47;RS;82619,92241;67083,45834;15536,46407;Ibirubá;RS;-53.08835402;-28.62760778;401.93;6764;5436;1328;57225;189348;0.786;0.848;0.671;Intermediário Adjacente;217925.34;89.13;459749.77;94075.85;965.89;20300;47580.93;1041;9562;1809
416;432;Igrejinha;4310108;136,784;37340;233,03;97,3;0,721;;45664,66;RS;129334,2217;105870,0161;23464,20562;Igrejinha;RS;-50.79871073;-29.57222046;38.58;10615;10075;540;322;2301;0.749;0.876;0.571;Urbano;4243.86;684442.07;496852.6;146774.25;1555018.01;34630;44903.78;1591;13905;5605
417;433;Ijuí;4310207;689,064;83764;114,51;98,9;0,781;;38341,14;RS;367898,4158;322410,2218;45488,19396;Ijuí;RS;-53.91806684;-28.38853654;311.71;26803;24378;2425;61199;178519;0.786;0.858;0.707;Urbano;214209.75;449530.85;1650768.35;433789.92;3048217.08;83089;36686.17;3699;33592;12364
418;434;Ilópolis;4310306;118,144;4066;35,22;95,7;0,73;;26520,62;RS;19641,29449;14208,73328;5432,56121;Ilópolis;RS;-52.12215749;-28.92915273;683.44;1276;745;531;8095;59068;0.756;0.866;0.595;Rural Adjacente;48541.62;9.26;33238.48;19975.32;117110.07;4205;27850.19;202;1758;347
419;435;Imbé;4310330;39,766;23271;448,53;96,8;0,764;;23398,58;RS;93697,3097;86666,62328;7030,68642;Imbé;RS;-50.13057994;-29.97477782;3.08;6027;6024;3;2;30;0.825;0.847;0.638;Urbano;1647.28;36371.61;243682.46;120708.03;433.13;20294;21342.58;697;8012;2586
420;436;Imigrante;4310363;73,589;3100;41,21;95,1;0,743;;57304,65;RS;22621,7205;19340,55154;3281,16896;Imigrante;RS;-51.77019051;-29.35215812;91.04;1064;562;502;532;5476;0.764;0.844;0.635;Rural Adjacente;21266.56;77787.29;40692.99;18160.44;185019.41;3152;58699.05;174;1217;436
421;437;Independência;4310405;358,283;6109;18,52;98,9;0,693;;33073,12;RS;27809,42103;23496,47184;4312,94919;Independência;RS;-54.18810833;-27.84733156;379.29;2265;1418;847;33466;86572;0.711;0.813;0.576;Rural Adjacente;107660.29;13358.58;81850.53;31731.77;250785.65;6625;37854.44;140;2597;809
422;438;Inhacorá;4310413;113,749;2215;19,87;98,8;0,673;;25308,63;RS;14300,95417;13152,9439;1148,01027;Inhacorá;RS;-54.01254559;-27.88045446;398.48;756;464;292;11233;30420;0.647;0.807;0.585;Rural Adjacente;26851.74;1702.66;14.03;13793.24;58.83;2315;25411.14;31;712;232
423;439;Ipê;4310439;599,361;6689;10,04;98,6;0,728;;30261,15;RS;26439,35552;21629,96404;4809,39148;Ipê;RS;-51.27991019;-28.81832803;756.79;1993;1021;972;12772;129597;0.751;0.831;0.618;Rural Adjacente;115412.77;14138.44;49942.34;31024.14;219118.75;6448;33982.44;306;2422;438
424;440;Ipiranga do Sul;4310462;157,882;1880;12,31;100;0,791;;43163,38;RS;15743,40398;13386,92969;2356,47429;Ipiranga do Sul;RS;-52.42506064;-27.93598428;627.66;649;244;405;13479;45226;0.818;0.866;0.698;Rural Adjacente;47505.79;6;20939.92;13427.23;91011.23;1978;46011.74;78;843;266
425;441;Iraí;4310504;181,579;7141;44,64;98,4;0,691;;22082,63;RS;21118,44517;17857,66024;3260,78493;Iraí;RS;-53.26429602;-27.19228198;229.5;2503;1545;958;12360;43538;0.684;0.819;0.59;Rural Adjacente;44945.9;10305.47;60.14;31935.3;156152.48;7969;19594.99;188;2447;1110
426;442;Itaara;4310538;172,801;5537;28,96;99,1;0,76;;16406,44;RS;18509,7824;16493,69247;2016,08993;Itaara;RS;-53.75784925;-29.60288795;437.05;1663;1302;361;4173;16534;0.761;0.841;0.687;Urbano;13687.92;13507.86;29159.73;25896.43;87.25;5357;16287.26;125;1754;474
427;443;Itacurubi;4310553;1120,874;3460;3,07;96,3;0,657;;24669,41;RS;18074,02087;15199,27035;2874,75052;Itacurubi;RS;-55.23272326;-28.80220503;165.8;1201;408;793;14469;36137;0.692;0.804;0.509;Rural Adjacente;55079.4;2.37;14833.52;20246.94;94655.78;3552;26648.59;53;770;354
428;444;Itapuca;4310579;184,673;2065;12,72;97,5;0,664;;23325,95;RS;14448,83984;11837,66227;2611,17757;Itapuca;RS;-52.17236685;-28.7802957;773.38;716;189;527;5733;31126;0.709;0.834;0.495;Rural Adjacente;29203.49;1583.65;5664.34;12.92;50115.53;2309;21704.43;59;732;186
429;445;Itaqui;4310603;3406,606;37489;11,21;98,7;0,713;;34314,16;RS;110187,8656;109059,9432;1127,92241;Itaqui;RS;-56.5571335;-29.1286369;62.08;11627;10118;1509;113512;542802;0.687;0.843;0.626;Urbano;324575.36;174.15;378111.32;179002.94;1147366.2;39049;29382.73;979;9649;4645
430;446;Itati;4310652;206,91;2397;12,49;97,7;0,669;;23372,68;RS;14779,51546;12529,42666;2250,0888;Itati;RS;-50.10178226;-29.5002485;26.6;919;70;849;517;7729;0.692;0.827;0.524;Rural Adjacente;46527.33;5091.43;11031.53;15053.83;79151.3;2592;30536.77;53;699;373
431;447;Itatiba do Sul;4310702;212,669;3231;19,65;99,2;0,681;;16583,61;RS;20611,19147;16955,73773;3655,45374;Itatiba do Sul;RS;-52.45244325;-27.38329194;700.54;1354;603;751;3959;24701;0.696;0.801;0.567;Rural Adjacente;23044.21;2725.81;15098.03;19165.08;62.53;3944;15855.25;109;1037;475
432;448;Ivorá;4310751;122,93;1881;17,54;97,1;0,724;;23078,92;RS;13908,71148;11563,70323;2345,00825;Ivorá;RS;-53.58088562;-29.51953448;168.91;687;252;435;5330;25500;0.712;0.886;0.602;Rural Adjacente;19666.44;1799.13;14.97;12090.92;49708.84;2118;23469.7;62;617;189
433;449;Ivoti;4310801;63,092;24690;314,71;100;0,784;;40144,18;RS;89287,14551;67632,30301;21654,8425;Ivoti;RS;-51.15957419;-29.59415652;127.93;6689;6092;597;286;3468;0.78;0.848;0.729;Urbano;7.98;257.72;425266.36;102980.51;935962.23;22270;42027.94;1095;10291;2183
434;450;Jaboticaba;4310850;127,589;3773;32;98,1;0,658;;21049,72;RS;16607,68285;13538,10073;3069,58212;Jaboticaba;RS;-53.2843894;-27.63122239;533.26;1343;521;822;10992;28467;0.636;0.82;0.547;Rural Adjacente;41.96;3019.72;26688.45;19.11;94296.96;4099;23004.87;101;1142;714
435;451;Jacuizinho;4310876;339,399;2706;7,41;98,1;0,662;;37105,82;RS;15167,50537;13466,82912;1700,67625;Jacuizinho;RS;-53.05655066;-29.03381636;300.62;820;181;639;21333;76662;0.73;0.817;0.487;Rural Adjacente;68628.9;3440.06;15432.1;16174.01;105961.81;2656;39895.26;25;632;297
436;452;Jacutinga;4310900;179,238;3546;20,26;97,4;0,726;;31536,49;RS;20329,5472;15444,49987;4885,04733;Jacutinga;RS;-52.54317281;-27.72849363;560.64;1227;894;333;16929;58298;0.703;0.855;0.636;Rural Adjacente;51540.85;20865.92;39778.14;19810.71;140346.2;3709;37839.36;140;1602;351
437;453;Jaguarão;4311007;2051,845;26500;13,6;97,1;0,707;;25658,02;RS;87238,15698;72245,37863;14992,77835;Jaguarão;RS;-53.37752292;-32.56356867;20.02;9934;9229;705;69993;279609;0.698;0.832;0.608;Urbano;177756.51;30487.13;264704.21;116030.35;628712.52;28230;22271.08;830;11442;3572
438;454;Jaguari;4311106;672,735;10765;17,04;97;0,712;;20831,62;RS;38963,78049;34087,80552;4875,97497;Jaguari;RS;-54.69384667;-29.49734673;115.82;3988;2339;1649;15224;90799;0.734;0.866;0.567;Rural Adjacente;62804.36;16645.83;89.54;47969.19;229030.31;11551;19827.75;302;3709;1346
439;455;Jaquirana;4311122;908,838;3662;4,6;96,1;0,614;;16726,62;RS;20416,12266;16166,57638;4249,54628;Jaquirana;RS;-50.35803672;-28.88056759;950.46;1375;778;597;1172;6523;0.626;0.779;0.475;Rural Adjacente;22.95;4262.58;18306.72;20001.28;68173.91;4110;16587.33;92;1204;161
440;456;Jari;4311130;856,475;3486;4,17;96;0,631;;48481,71;RS;22238,51838;15751,16851;6487,34987;Jari;RS;-54.21993582;-29.2900811;428.46;1211;214;997;51915;160539;0.636;0.836;0.473;Rural Adjacente;136262.88;6236.13;22958.66;20689.76;188791.59;3650;51723.72;24;884;539
441;457;Jóia;4311155;1238,938;8566;6,74;96,6;0,686;;46834,89;RS;42459,69052;32533,97325;9925,71727;Jóia;RS;-54.1159649;-28.64562353;338.43;2700;729;1971;106710;276428;0.671;0.841;0.572;Rural Adjacente;239398.21;12694.64;93672.25;43.65;404.07;8668;46616.31;124;2653;1112
442;458;Júlio de Castilhos;4311205;1929,544;19224;10,15;97,3;0,716;;52616,78;RS;77913,77144;63239,13836;14674,63308;Júlio de Castilhos;RS;-53.68309961;-29.22644912;528.46;6379;5291;1088;101789;329178;0.733;0.833;0.602;Urbano;298777.77;52920.92;506945.16;95681.93;1071600.38;20032;53494.43;655;6317;1558
443;459;Lagoa Bonita do Sul;4311239;109,281;2921;24,53;97,9;0,67;;21032,21;RS;13940,65325;12121,71781;1818,93544;Lagoa Bonita do Sul;RS;-53.01698318;-29.4941314;590.27;858;131;727;4878;46375;0.696;0.801;0.539;Rural Adjacente;26404.06;1859.36;7178.29;15156.65;51.89;2839;18278.91;50;869;301
444;460;Lagoão;4311254;387,455;6461;16,12;97;0,643;;16035,29;RS;22550,25033;18523,42748;4026,82285;Lagoão;RS;-52.77502891;-29.2243164;615.08;1947;554;1393;13287;69444;0.641;0.822;0.505;Rural Adjacente;45267.18;3.25;13719.11;29.87;94026.07;6504;14456.65;65;1429;824
445;461;Lagoa dos Três Cantos;4311270;138,602;1607;11,53;100;0,789;;45801,89;RS;17057,22066;12815,48272;4241,73794;Lagoa dos Três Cantos;RS;-52.85783524;-28.56946813;484.46;558;298;260;13348;42740;0.765;0.852;0.754;Rural Adjacente;47031.97;2613.47;20712.77;11641.48;85.98;1649;52140.27;78;648;204
446;462;Lagoa Vermelha;4311304;1260,227;27778;21,78;97,5;0,738;;33907,96;RS;76755,62441;79573,80007;-2818,17566;Lagoa Vermelha;RS;-51.52722853;-28.20887025;805.86;9458;8272;1186;60479;250112;0.734;0.885;0.62;Urbano;210840.73;186950.33;401921.98;114331.26;1004369.16;28443;35311.65;1167;12136;1814
447;463;Lajeado;4311403;91,314;85033;793,07;98;0,778;;45888,7;RS;313426,4293;257293,5427;56132,88665;Lajeado;RS;-51.9678277;-29.4654544;25.12;24966;24872;94;1328;6598;0.796;0.84;0.704;Urbano;14462.45;742465.31;1856418.79;350220.12;3499396.18;79172;44199.92;5337;38748;14038
448;464;Lajeado do Bugre;4311429;67,947;2566;36,61;96,8;0,613;;16923;RS;13959,00491;11219,60691;2739,398;Lajeado do Bugre;RS;-53.18138713;-27.69076941;393.01;802;240;562;7242;26130;0.604;0.822;0.465;Rural Adjacente;25081.77;1585.98;7.2;14713.91;49435.96;2592;19072.51;33;674;328
449;465;Lavras do Sul;4311502;2600,969;7444;2,95;98,5;0,699;;27998,3;RS;40036,16247;32066,32762;7969,83485;Lavras do Sul;RS;-53.89847666;-30.81200999;294.36;2638;1657;981;23906;75128;0.683;0.868;0.577;Intermediário Adjacente;127567.34;7180.87;60473.08;42499.7;246981.67;7820;31583.33;164;2121;627
450;466;Liberato Salzano;4311601;245,627;5152;23,53;98,9;0,685;;21915,15;RS;21566,55228;18628,82943;2937,72285;Liberato Salzano;RS;-53.07486074;-27.59647016;327.25;1770;466;1304;11905;46062;0.68;0.81;0.583;Rural Adjacente;48074.57;4.87;37197.61;24820.62;122061.6;5718;21346.9;147;1577;789
451;467;Lindolfo Collor;4311627;33,414;6125;158,44;97,1;0,712;;52057,5;RS;26316,3433;18835,38011;7480,96319;Lindolfo Collor;RS;-51.20815532;-29.60080359;119.03;1749;1435;314;475;6512;0.712;0.842;0.601;Urbano;5351.79;178888.98;69.78;27739.26;317537.35;5719;55523.23;153;2288;563
452;468;Linha Nova;4311643;63,502;1719;25,48;100;0,749;;27143,49;RS;12244,82671;9721,99138;2522,83533;Linha Nova;RS;-51.20190209;-29.4626386;360.35;547;147;400;350;4560;0.751;0.846;0.662;Rural Adjacente;32244.87;5336.86;7616.61;10418.34;57.03;1707;33408.66;65;677;224
453;469;Machadinho;4311700;335,198;5427;16,45;98,5;0,692;;27148,36;RS;22641,84126;20367,88179;2273,95947;Machadinho;RS;-51.66750736;-27.56813997;756.48;1910;1214;696;13844;50737;0.711;0.807;0.577;Rural Adjacente;58.12;11457.19;51.65;28109.3;156765.06;5645;27770.6;200;1911;649
454;470;Maçambará;4311718;1682,82;4562;2,82;99,3;0,684;;51218,87;RS;26115,04942;17242,52362;8872,5258;Maçambará;RS;-56.06361348;-29.1461442;104.46;1494;427;1067;54546;207616;0.664;0.832;0.58;Rural Remoto;153950.13;12833.11;36825.55;26068.24;237500.79;4814;49335.44;38;618;258
455;471;Mampituba;4311734;156,653;2973;19,02;96,6;0,649;;18352,82;RS;17104,60084;13934,41597;3170,18487;Mampituba;RS;-49.93651355;-29.21064942;35.78;1013;207;806;3629;47150;0.65;0.813;0.517;Rural Adjacente;24858.34;2472.83;8027.55;16.11;52.81;3081;17139.04;67;285;356
456;472;Manoel Viana;4311759;1390,696;7307;5,09;99,2;0,655;;31793,72;RS;24016,81615;20462,17218;3554,64397;Manoel Viana;RS;-55.49166254;-29.58053718;90.38;2506;1909;597;49169;143364;0.686;0.766;0.534;Intermediário Adjacente;114713.15;9324.5;53.16;36299.9;222529.56;7372;30185.78;135;2027;596
457;473;Maquiné;4311775;621,561;6681;11,11;94,6;0,682;;15984,38;RS;25260,84595;21079,4165;4181,42945;Maquiné;RS;-50.20339481;-29.67913701;10.18;2322;715;1607;2224;19026;0.695;0.88;0.519;Rural Adjacente;30928.77;15447.3;34.24;31890.32;119115.88;7028;16948.76;168;2296;898
458;474;Maratá;4311791;82,063;2702;31,13;99;0,697;;34476,97;RS;21083,682;17162,94568;3920,73632;Maratá;RS;-51.55556688;-29.55532297;52.8;842;269;573;518;4564;0.729;0.862;0.54;Rural Adjacente;24.37;29647.86;19285.7;16716.05;96835.66;2668;36295.22;128;965;544
459;475;Marau;4311809;649,77;44858;56;94,5;0,774;;46075,14;RS;134010,0563;120754,9821;13255,07421;Marau;RS;-52.19677693;-28.44845393;544.63;12185;10640;1545;44554;170573;0.773;0.857;0.699;Urbano;193.72;575349.34;623.52;181692.04;1770360.63;40629;43573.82;1810;19066;3984
460;476;Marcelino Ramos;4311908;229,759;4319;22,35;98,2;0,724;;22750,07;RS;21555,89208;18131,62087;3424,27121;Marcelino Ramos;RS;-51.91331894;-27.46139121;401.76;1767;975;792;6109;26721;0.735;0.834;0.618;Rural Adjacente;32122.38;8907.02;40133.39;23291.11;110451.54;4982;22170.12;218;1630;466
461;477;Mariana Pimentel;4311981;338,45;3888;11,15;97,7;0,701;;17120,47;RS;18283,12865;13110,20565;5172,923;Mariana Pimentel;RS;-51.58734299;-30.3536222;104.83;1401;245;1156;4047;34390;0.701;0.866;0.568;Rural Adjacente;43667.36;2357.21;14215.69;19513.61;82658.28;3926;21054.07;74;1451;654
462;478;Mariano Moro;4312005;98,727;2009;22,33;98,1;0,73;;21507,96;RS;14891,98136;12052,72243;2839,25893;Mariano Moro;RS;-52.14889182;-27.35261279;481.78;759;413;346;2552;12748;0.763;0.843;0.604;Rural Adjacente;18519.86;1890.4;11.28;14621.73;48.6;2200;22091.03;69;869;163
463;479;Marques de Souza;4312054;125,425;3995;32,5;100;0,687;;20065,51;RS;19305,85222;16099,86827;3205,98395;Marques de Souza;RS;-52.09780443;-29.32913734;53.62;1437;590;847;1402;9767;0.743;0.849;0.515;Rural Adjacente;25392.5;7.11;24957.58;20702.57;83162.1;4163;19976.48;238;1347;689
464;480;Mata;4312104;311,884;4797;16,39;97,9;0,656;;20868,51;RS;20420,28628;16818,5502;3601,73608;Mata;RS;-54.45243548;-29.56939178;103.11;1845;969;876;7094;38536;0.66;0.807;0.529;Rural Adjacente;36547.09;8522.3;31998.01;24979.25;107435.62;5141;20897.81;153;1472;609
465;481;Mato Castelhano;4312138;238,268;2542;10,36;100;0,727;;31824,39;RS;15704,44874;13481,05083;2223,39791;Mato Castelhano;RS;-52.19726088;-28.27576174;736.64;838;182;656;12662;40709;0.752;0.839;0.608;Rural Adjacente;55624.07;3461.61;25481.18;14723.2;104695.32;2571;40721.63;69;827;326
466;482;Mato Leitão;4312153;46,8;4573;84,2;100;0,746;;30519,42;RS;26467,22556;19159,41995;7307,80561;Mato Leitão;RS;-52.13302933;-29.52483034;69.58;1328;548;780;3036;17635;0.721;0.853;0.676;Rural Adjacente;19904.29;47671.98;36316.87;23034.79;140.95;4240;33241.8;206;1770;863
467;483;Mato Queimado;4312179;114,653;1629;15,69;99,2;0,717;;28089,49;RS;15489,1869;11880,36335;3608,82355;Mato Queimado;RS;-54.61683688;-28.25581599;217.4;620;179;441;9635;27335;0.702;0.87;0.603;Rural Adjacente;31513.63;1695.02;8.65;10972.73;54064.96;1789;30220.77;44;607;331
468;484;Maximiliano de Almeida;4312203;208,439;4314;23,56;99,1;0,699;;20328,51;RS;18408,71269;16021,01359;2387,6991;Maximiliano de Almeida;RS;-51.8017182;-27.63494065;621.86;1621;1014;607;10287;29768;0.699;0.825;0.591;Rural Adjacente;38610.39;5.54;33720.72;23044.56;105432.84;4834;21810.68;158;1994;493
469;485;Minas do Leão;4312252;424,339;8103;17,98;97,9;0,681;;18860,37;RS;28075,10307;24196,04405;3879,05902;Minas do Leão;RS;-52.0512802;-30.12243951;56.97;2472;2373;99;11504;40007;0.743;0.826;0.514;Rural Adjacente;56.4;10240.77;44.69;35.15;170018.56;8035;21159.75;189;2628;488
470;486;Miraguaí;4312302;131,682;4911;37,24;99,1;0,725;;23859,58;RS;17986,07966;15234,52696;2751,5527;Miraguaí;RS;-53.68599404;-27.49607642;488.11;1626;744;882;8564;20878;0.744;0.837;0.613;Rural Adjacente;36950.27;32606.67;30517;22.8;132599.41;4978;26637.08;151;1669;982
471;487;Montauri;4312351;82,23;1441;18,79;100;0,764;;34736,2;RS;14316,17921;11725,55702;2590,62219;Montauri;RS;-52.07610819;-28.65320719;440.5;469;216;253;4427;14533;0.79;0.852;0.662;Rural Adjacente;28148.42;4410.28;8925.9;10.22;56498.51;1551;36427.15;74;678;115
472;488;Monte Alegre dos Campos;4312377;549,639;3232;5,64;98,7;0,65;;22416,98;RS;17584,74093;15816,37747;1768,36346;Monte Alegre dos Campos;RS;-50.78283371;-28.68507178;964.33;991;202;789;6283;74233;0.667;0.822;0.501;Rural Adjacente;34075.14;2213.38;11262.87;19283.77;71066.81;3243;21913.91;29;671;318
473;489;Monte Belo do Sul;4312385;69,726;2530;39,05;98,7;0,752;;49024,6;RS;16461,32351;13294,87965;3166,44386;Monte Belo do Sul;RS;-51.63155925;-29.15994122;621.83;827;266;561;2784;60966;0.752;0.852;0.663;Urbano;21147.96;49032.43;27.19;15278.59;124076.51;2696;46022.45;104;1033;288
474;490;Montenegro;4312401;424,846;65721;140,13;97,4;0,755;;51695,39;RS;258131,54;195508,3699;62623,17008;Montenegro;RS;-51.46129938;-29.68811861;25.59;19953;18142;1811;3885;39688;0.761;0.866;0.654;Urbano;55804;962545.76;1101667.53;312205.89;2949358.46;63551;46409.32;2633;26888;10365
475;491;Mormaço;4312427;146,191;3113;18,81;97,8;0,714;;29660,42;RS;15264,94141;13367,75765;1897,18376;Mormaço;RS;-52.69282632;-28.69335122;415.71;889;201;688;12775;36062;0.735;0.86;0.576;Rural Adjacente;31.41;3205.36;29329.1;15.48;85649.09;2968;28857.51;78;939;263
476;492;Morrinhos do Sul;4312443;166,224;2919;19,23;100;0,711;;18974,01;RS;17678,29501;13321,21072;4357,08429;Morrinhos do Sul;RS;-49.93276297;-29.36296363;21.53;1159;470;689;4825;51105;0.72;0.842;0.593;Rural Adjacente;26962.42;2.31;12820.2;17366.25;61.97;3179;19494.98;151;906;807
477;493;Morro Redondo;4312450;244,645;6589;25,45;98,5;0,702;;13590,8;RS;19904,52195;16214,47085;3690,0511;Morro Redondo;RS;-52.6577802;-31.58220323;264.12;2307;1015;1292;3265;15277;0.719;0.864;0.557;Rural Adjacente;18607.86;13638.24;24934.68;29.84;96000.43;6548;14661.03;115;2611;1742
478;494;Morro Reuter;4312476;87,689;6513;64,76;96,7;0,743;;27942,96;RS;24852,06711;20823,65518;4028,41193;Morro Reuter;RS;-51.08008835;-29.53934166;480.05;1929;1646;283;693;6417;0.733;0.858;0.653;Urbano;24489.52;43734.71;49220.12;28777.68;161009.32;6143;26210.21;242;2661;554
479;495;Mostardas;4312500;1977,442;12847;6,11;96,6;0,664;;28599,29;RS;49719,90374;45534,67787;4185,22587;Mostardas;RS;-50.91915885;-31.10822511;14.75;4134;2752;1382;45672;233003;0.701;0.849;0.493;Rural Adjacente;144836.59;15340.98;94485.23;61038.08;329717.19;12758;25843.96;302;3532;978
480;496;Muçum;4312609;111,247;4961;43,2;97,2;0,746;;56675,81;RS;20106,04068;18911,88723;1194,15345;Muçum;RS;-51.86605553;-29.16561481;47.95;1680;1416;264;1907;10667;0.757;0.84;0.654;Rural Adjacente;16752.15;99641.64;77739.07;23009.47;242986.91;4998;48616.83;309;2163;607
481;497;Muitos Capões;4312617;1193,717;3173;2,49;92,8;0,702;;119322,26;RS;28872,71653;21478,39877;7394,31776;Muitos Capões;RS;-51.18460234;-28.3189128;933.78;983;348;635;92911;407961;0.711;0.873;0.558;Rural Adjacente;380967.81;22339.28;76.32;21063.01;512575.53;3147;162877.51;53;689;168
482;498;Muliterno;4312625;111,132;1897;16,31;95,2;0,689;;23217,81;RS;13242,42187;11322,71748;1919,70439;Muliterno;RS;-51.76870124;-28.33026536;831.19;502;184;318;4613;28142;0.74;0.808;0.547;Rural Adjacente;24993.94;2437.09;8268.5;12266.79;49314.66;1899;25968.75;60;615;216
483;499;Não-Me-Toque;4312658;361,689;17758;44,06;98,9;0,765;;66717,81;RS;84979,23339;71619,38958;13359,84381;Não-Me-Toque;RS;-52.81927949;-28.45990677;512.67;5515;4853;662;34398;113319;0.784;0.847;0.673;Urbano;100886.3;259834.11;439.47;84.47;1019762.59;17094;59656.17;1034;7598;2365
484;500;Nicolau Vergueiro;4312674;154,995;1674;11,04;97,4;0,753;;46644,31;RS;14204,1667;12883,16049;1321,00621;Nicolau Vergueiro;RS;-52.46240067;-28.53621481;559.92;618;241;377;12766;43559;0.772;0.839;0.66;Rural Adjacente;41504.89;2720.32;24.19;11367.75;85.32;1754;48645.27;85;717;221
485;501;Nonoai;4312708;468,962;11633;25,75;96,2;0,702;;29964,75;RS;44644,06732;36324,0106;8320,05672;Nonoai;RS;-52.77618857;-27.35466453;559.97;3730;3048;682;25980;83500;0.703;0.833;0.591;Intermediário Adjacente;77384.42;20876.12;173902.56;55925.91;358.77;12270;29239.75;363;4182;860
486;502;Nova Alvorada;4312757;148,861;3663;21,3;96,7;0,74;;46112,05;RS;20925,98074;19202,96974;1723,011;Nova Alvorada;RS;-52.16713392;-28.67656443;425.88;985;440;545;7533;31640;0.763;0.838;0.634;Rural Adjacente;47.51;5.54;53080.6;17852.64;148430.16;3457;42936.12;192;1440;282
